,onstreaminject_HRS,BORE_WI_VOL,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P in percentage,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2007-03-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-17,0.0,0,11.5,308.056,104.41799999999999,201.25,18.64,14.48443,106.806,16.295,92.475,285.0,38889.0,385.0
2007-05-18,0.0,0,24.0,303.034,105.40299999999999,182.145,16.467,22.83299,120.889,53.373999999999995,89.62,1870.0,285246.0,7.0
2007-05-19,0.0,0,22.5,295.586,105.775,181.868,12.66,31.24997,113.71799999999999,72.738,80.12,3124.0,509955.0,1.0
2007-05-20,0.0,0,23.15,297.663,105.75200000000001,180.832,5.263999999999999,28.518929999999997,116.831,69.99600000000001,84.251,2608.0,383427.0,1.0
2007-05-21,0.0,0,24.0,295.936,105.811,180.50099999999998,12.385,30.2279,115.434,71.518,82.359,3052.0,418474.0,5.0
2007-05-22,0.0,0,24.0,295.552,105.831,180.34599999999998,14.385,29.97405,115.206,73.642,82.169,2983.0,422763.0,2.0
2007-05-23,0.0,0,23.0,294.211,105.866,180.929,15.98,30.3084,113.28200000000001,74.16,80.263,2981.0,413831.0,6.0
2007-05-24,0.0,0,24.0,293.829,105.868,180.06,18.811,30.48698,113.76899999999999,74.902,81.275,3046.0,429218.0,1.0
2007-05-25,0.0,0,24.0,293.061,105.87899999999999,179.662,19.741,29.907020000000003,113.4,73.039,80.774,3057.0,442983.0,0.0
2007-05-26,0.0,0,24.0,292.54,105.883,179.43400000000003,19.432000000000002,30.493009999999998,113.10600000000001,71.737,79.975,3030.0,423809.0,0.0
2007-05-27,0.0,0,23.67,292.362,105.882,179.282,1.0390000000000001,29.63448,113.079,72.327,79.94800000000001,2908.0,397808.0,0.0
2007-05-28,0.0,0,15.14,292.08799999999997,105.84899999999999,179.486,11.011,28.957179999999997,112.603,69.597,79.16199999999999,1852.0,252078.0,0.0
2007-05-29,0.0,0,24.0,290.54200000000003,105.906,179.355,8.583,30.79962,111.18700000000001,73.193,77.932,3127.0,442808.0,0.0
2007-05-30,0.0,0,24.0,290.20799999999997,105.896,178.75799999999998,12.304,30.68344,111.45,73.108,78.257,3046.0,439178.0,0.0
2007-05-31,0.0,0,24.0,289.536,105.902,178.60299999999998,12.505999999999998,30.923040000000004,110.934,72.308,77.723,3047.0,446905.0,0.0
2007-06-01,0.0,0,24.0,288.933,105.902,178.608,12.376,30.849320000000002,110.32600000000001,74.702,77.128,3036.0,445616.0,0.0
2007-06-02,0.0,0,23.67,288.848,105.896,178.22,10.15,29.900440000000003,110.62899999999999,73.45100000000001,77.465,2972.0,424674.0,0.0
2007-06-03,0.0,0,24.0,287.514,105.90700000000001,178.067,11.424000000000001,31.02388,109.447,73.396,76.212,3071.0,450348.0,0.0
2007-06-04,0.0,0,24.0,286.892,105.90899999999999,178.065,11.155999999999999,31.06188,108.82700000000001,74.604,75.57300000000001,3068.0,447584.0,0.0
2007-06-05,0.0,0,24.0,286.265,105.911,177.94400000000002,11.222999999999999,31.08744,108.321,75.218,74.762,3067.0,446144.0,0.0
2007-06-06,0.0,0,24.0,285.728,105.91,177.669,10.866,30.964470000000002,108.059,75.124,74.361,3044.0,443726.0,0.0
2007-06-07,0.0,0,24.0,285.382,105.904,177.30700000000002,9.829,30.602209999999996,108.075,74.281,74.441,2983.0,430247.0,0.0
2007-06-08,0.0,0,24.0,284.829,105.902,176.96,9.323,30.576490000000003,107.869,72.5,74.262,2967.0,437688.0,0.0
2007-06-09,0.0,0,24.0,284.295,105.899,176.984,9.113999999999999,30.58881,107.31,75.002,73.375,2951.0,432727.0,2.0
2007-06-10,0.0,0,22.83,284.42400000000004,105.87799999999999,176.67,6.276,28.824959999999997,107.75399999999999,71.042,73.568,2657.0,391265.0,2.0
2007-06-11,0.0,0,23.0,284.413,105.87100000000001,176.382,4.591,27.94825,108.031,69.252,73.795,2578.0,365769.0,2.0
2007-06-12,0.0,0,24.0,282.38599999999997,105.905,176.457,8.582,31.15911,105.93,73.138,71.562,2997.0,427791.0,2.0
2007-06-13,0.0,0,24.0,281.522,105.906,176.233,9.012,31.30501,105.29,73.336,71.062,3021.0,440679.0,1.0
2007-06-14,0.0,0,24.0,280.894,105.90799999999999,176.084,8.933,31.37003,104.811,73.971,71.283,3010.0,450972.0,1.0
2007-06-15,0.0,0,23.78,281.085,105.895,176.032,6.695,29.85867,105.053,73.89,71.868,2794.0,418887.0,1.0
2007-06-16,0.0,0,24.0,279.488,105.916,176.047,8.641,31.642540000000004,103.441,75.309,70.45100000000001,3059.0,458524.0,1.0
2007-06-17,0.0,0,23.83,279.112,105.912,175.892,7.824,30.926779999999997,103.219,75.172,70.393,2965.0,428015.0,1.0
2007-06-18,0.0,0,24.0,277.95099999999996,105.915,175.81099999999998,8.818,32.07412,102.14,76.262,69.867,3131.0,454137.0,1.0
2007-06-19,0.0,0,24.0,277.293,105.917,175.553,8.41,32.05167,101.73899999999999,76.00399999999999,69.813,3135.0,454798.0,1.0
2007-06-20,0.0,0,24.0,276.564,105.921,175.265,8.006,32.07362,101.29899999999999,75.245,69.322,3143.0,470240.0,1.0
2007-06-21,0.0,0,24.0,275.983,105.919,175.072,7.752999999999999,32.046440000000004,100.911,75.376,69.074,3132.0,425284.0,1.0
2007-06-22,0.0,0,24.0,275.363,105.91799999999999,174.903,7.476,32.04522,100.46,75.593,69.105,3140.0,454093.0,1.0
2007-06-23,0.0,0,24.0,274.793,105.915,174.668,6.968,32.01249,100.124,74.678,68.918,3157.0,467466.0,1.0
2007-06-24,0.0,0,24.0,274.072,105.916,174.498,6.696000000000001,32.08725,99.574,75.35600000000001,68.253,3192.0,458447.0,1.0
2007-06-25,0.0,0,24.0,273.45599999999996,105.915,174.28400000000002,6.462000000000001,32.07839,99.17200000000001,75.319,67.795,3172.0,458028.0,1.0
2007-06-26,0.0,0,24.0,272.881,105.913,174.088,6.287999999999999,32.0607,98.79299999999999,75.35300000000001,67.405,3160.0,466335.0,1.0
2007-06-27,0.0,0,24.0,272.237,105.913,173.835,4.957,32.12839,98.402,74.812,67.01100000000001,3153.0,468480.0,1.0
2007-06-28,0.0,0,24.0,271.684,105.91,173.644,14.905999999999999,32.0421,98.039,74.959,66.661,3131.0,406562.0,1.0
2007-06-29,0.0,0,7.48,271.41900000000004,105.90700000000001,173.52200000000002,14.794,30.925420000000003,97.897,75.26,66.578,960.0,113341.0,2.0
2007-06-30,0.0,0,0.0,283.71,104.03,282.532,0.603,0.0,1.178,6.731,1.1640000000000001,0.0,0.0,0.0
2007-07-01,0.0,0,1.19,279.416,104.714,187.175,0.41200000000000003,21.33333,92.241,24.1,68.207,73.0,48936.0,0.0
2007-07-02,0.0,0,24.0,271.468,105.87,174.19099999999997,6.744,32.0,97.277,69.262,65.742,3137.0,509075.0,3.0
2007-07-03,0.0,0,10.98,270.742,105.902,173.373,10.981,30.682609999999997,97.369,73.10600000000001,66.01899999999999,1431.0,137396.0,2.0
2007-07-04,0.0,0,14.03,271.557,105.86200000000001,173.435,7.146,31.0,98.12200000000001,70.452,67.12899999999999,1951.0,378533.0,2.0
2007-07-05,0.0,0,24.0,270.36,105.889,172.928,11.469000000000001,29.81203,97.431,73.53699999999999,66.38600000000001,3061.0,457837.0,3.0
2007-07-06,0.0,0,24.0,269.645,105.89399999999999,172.986,12.75,31.818379999999998,96.65799999999999,75.81,65.595,3054.0,461809.0,3.0
2007-07-07,0.0,0,24.0,268.862,105.897,172.745,13.189,32.00095,96.117,75.921,65.05199999999999,3103.0,372986.0,3.0
2007-07-08,0.0,0,24.0,268.18,105.897,172.49,13.273,32.0812,95.691,75.217,64.619,3111.0,463717.0,3.0
2007-07-09,0.0,0,24.0,267.45599999999996,105.895,172.31599999999997,13.265999999999998,32.20087,95.14,75.461,63.919,3303.0,463530.0,3.0
2007-07-10,0.0,0,24.0,266.855,105.887,172.067,13.261,32.2108,94.788,75.406,63.121,3028.0,440906.0,153.0
2007-07-11,0.0,0,24.0,266.476,105.87200000000001,171.737,13.149000000000001,32.03321,94.74,75.27,63.17,2999.0,452369.0,152.0
2007-07-12,0.0,0,24.0,265.9,105.861,171.356,13.064,32.04783,94.544,74.62899999999999,62.825,3054.0,451030.0,4.0
2007-07-13,0.0,0,24.0,265.395,105.853,171.178,12.985999999999999,32.000029999999995,94.21700000000001,74.835,62.791000000000004,3026.0,463595.0,5.0
2007-07-14,0.0,0,24.0,264.921,105.846,171.109,12.915999999999999,31.251859999999997,93.81200000000001,75.413,62.247,3003.0,468712.0,4.0
2007-07-15,0.0,0,24.0,264.334,105.84,170.71200000000002,12.716,31.94415,93.62200000000001,74.19800000000001,62.07,3016.0,458937.0,10.0
2007-07-16,0.0,0,12.98,264.008,105.838,170.859,12.549000000000001,30.885040000000004,93.149,73.895,61.656000000000006,1615.0,242280.0,3.0
2007-07-17,0.0,0,4.0,268.096,105.48,174.47799999999998,2.114,25.822960000000002,93.618,48.681999999999995,63.31100000000001,430.0,65731.0,2.0
2007-07-18,0.0,0,21.26,265.611,105.617,181.727,6.66,28.7635,83.884,64.021,56.138000000000005,2579.0,413143.0,4.0
2007-07-19,0.0,0,20.55,263.676,105.818,170.639,10.546,32.0605,93.037,74.167,61.284,2494.0,400308.0,4.0
2007-07-20,0.0,0,24.0,263.01,105.646,170.01,11.03,31.90408,93.0,74.464,61.321999999999996,2848.0,462315.0,4.0
2007-07-21,0.0,0,9.38,262.978,105.809,170.166,11.544,31.65348,92.81200000000001,74.87100000000001,61.07899999999999,1121.0,184081.0,1.0
2007-07-22,0.0,0,21.57,263.17400000000004,105.786,170.28900000000002,7.94,31.718740000000004,92.884,72.28,61.137,2448.0,372537.0,2.0
2007-07-23,0.0,0,22.71,263.142,105.777,170.12,9.925,30.033490000000004,93.021,73.227,61.733000000000004,2514.0,383126.0,2.0
2007-07-24,0.0,0,24.0,262.17,105.787,169.532,11.18,31.483220000000003,92.639,75.046,61.001000000000005,2753.0,418499.0,3.0
2007-07-25,0.0,0,24.0,261.61,105.78299999999999,169.285,11.257,31.519779999999997,92.32600000000001,74.86399999999999,60.68899999999999,2752.0,426345.0,3.0
2007-07-26,0.0,0,24.0,261.115,105.777,168.946,11.16,31.483009999999997,92.169,74.25,60.547,2737.0,422379.0,2.0
2007-07-27,10.0,166,24.0,260.558,105.771,168.69799999999998,11.011,31.487270000000002,91.86,73.584,60.253,2736.0,422115.0,-14.0
2007-07-28,24.0,3565,24.0,260.127,105.76899999999999,168.549,10.907,30.81425,91.57799999999999,73.696,59.938,2730.0,474459.0,94.0
2007-07-29,24.0,6917,24.0,260.52299999999997,105.781,168.745,10.937000000000001,31.49891,91.77799999999999,74.271,60.089,2728.0,480457.0,4.0
2007-07-30,18.65,6618,24.0,261.14099999999996,105.794,168.90099999999998,10.915,31.41246,92.24,73.417,60.553000000000004,2747.0,481823.0,4.0
2007-07-31,15.96,4507,15.96,260.41700000000003,105.816,169.706,11.6,31.489729999999998,90.712,75.758,58.911,1986.0,350826.0,3.0
2007-08-01,0.0,0,10.605,262.0535,105.65899999999999,172.1955,6.726,28.666415,89.8585,63.636,59.5085,1266.5,220825.0,4.0
2007-08-02,5.0,1450,5.25,263.69,105.50200000000001,174.685,1.8519999999999999,25.8431,89.005,51.513999999999996,60.106,547.0,90824.0,5.0
2007-08-03,21.04,6530,24.0,261.282,105.78,170.419,7.151,32.54397,90.86200000000001,68.96600000000001,58.917,3012.0,459765.0,14.0
2007-08-04,24.0,6999,24.0,260.789,105.839,170.11900000000003,10.634,33.43435,90.67,74.21,58.501999999999995,3168.0,471210.0,3.0
